empleado_id,nombre,apellido,telefono,puesto_id,fecha_nacimiento
1,Modesto,Ojeda,37633227,12,1996-05-20
2,Hilda,Canales,53180619,7,2000-02-16
3,Pamela,Piña,57578894,13,1997-09-03
4,Estela,Santacruz,46351666,3,2003-11-22
5,María,Corona,49299061,5,1978-08-18
6,Salvador,Duarte,48258302,12,1994-04-19
7,Bernardo,Cadena,48837779,6,1985-12-23
8,Indira,Garay,30882441,11,2006-08-28
9,Yeni,Ríos,35843861,2,1993-12-03
10,Jaime,Abreu,49775865,12,1969-01-23
11,Bernabé,Cadena,52750933,10,2001-04-07
12,Andrea,Leiva,36141960,10,2003-02-12
13,Claudia,Rojo,40394233,7,2004-02-19
14,Anel,Garza,30987928,8,1984-04-07
15,Rosa,Bañuelos,33434230,4,1972-01-11
16,Karina,Medina,33146165,7,1966-11-03
17,Citlali,Soria,41712821,13,1981-05-01
18,Fernando,Gollum,38349376,8,1968-05-23
19,Francisco,Zayas,36133346,9,1977-02-10
20,Karina,Burgos,50606071,2,1974-09-02
21,Juana,Olivares,37122780,13,1984-12-11
22,Perla,Barela,30772927,7,1966-06-10
23,Florencia,Márquez,31166933,9,1996-10-09
24,Clara,Alvarez,34728528,5,1990-05-16
25,Reina,Badillo,51158359,7,1967-01-11
26,Perla,Padrón,40039637,5,2002-09-24
27,Esmeralda,Loya,53613616,12,2003-04-29
28,Rolando,Arenas,33309504,1,1985-02-05
29,Eloisa,Villarreal,36136234,1,1979-10-26
30,Mónica,Arias,40841079,1,1976-05-13
31,Rufino,Leiva,50881952,7,1982-06-08
32,Maximiliano,Cornejo,45535857,6,1971-06-19
33,Armando,Bustamante,41152195,15,1970-11-07
34,Jorge Luis,Méndez,51199375,6,1976-10-07
35,Anel,Sierra,59049620,3,1997-05-05
36,Alicia,Cazares,31612448,6,1993-04-14
37,Caridad,Prado,35821347,15,1987-10-06
38,Joaquín,Rojo,33318062,10,1992-04-30
39,Itzel,Mendoza,41227916,4,2003-05-29
40,Abraham,Rubio,52271652,6,2006-11-29
41,Úrsula,Perales,52417025,3,2006-09-02
42,Óscar,Villareal,31711561,7,1982-12-18
43,Abelardo,Córdova,47825567,2,1977-01-06
44,Reynaldo,Zayas,33297426,2,1971-05-05
45,Lourdes,Aparicio,42387627,3,1994-03-19
46,Ariadna,Merino,50922414,7,1987-07-03
47,Antonio,Treviño,38521271,3,2000-11-29
48,Helena,Ponce,30898334,4,1989-10-16
49,Jorge Luis,Montaño,34318452,2,1985-01-24
50,Marcela,Ruelas,50141733,12,2005-07-09
51,Sara,Cavazos,40366578,14,2001-07-17
52,Armando,Corona,46515529,6,1996-02-20
53,Renato,Huerta,43395405,8,1997-07-18
54,José Eduardo,Velasco,53504391,3,1965-01-18
55,Luis Manuel,Zedillo,53932175,6,1980-03-11
56,Gustavo,Dueñas,44431613,6,1989-03-23
57,Ángel,Rentería,54274743,10,1967-11-24
58,Dolores,Olivo,56083814,11,1991-06-18
59,Raquel,Rodrígez,57116057,13,1973-12-12
60,Rocío,Arriaga,48004418,3,1966-02-05
61,Octavio,Linares,45468989,14,1993-10-01
62,Patricia,Cornejo,45965381,8,1993-08-10
63,Abril,Loera,30185794,12,1991-03-29
64,Guillermina,Guajardo,38601723,2,1975-11-06
65,Ivonne,Cardona,55540473,8,1984-05-04
66,Zeferino,Roldán,56743109,1,1982-07-05
67,Jorge,Tamayo,43088196,11,1972-06-11
68,Anel,Vaca,50292365,10,1974-05-31
69,Ignacio,Barragán,41758784,14,1983-04-19
70,Mariana,Barragán,31155258,3,1990-10-12
71,Magdalena,Verduzco,40662942,8,1993-02-15
72,Joaquín,Sosa,35414078,10,1991-05-28
73,Mónica,de la Torre,40698960,7,1981-10-27
74,Georgina,Mireles,57874243,6,1981-01-10
75,Silvano,Carbajal,43169029,10,2007-07-10
76,Alonso,Valverde,43458056,1,1987-10-20
77,Julio,Rincón,59036950,5,1986-04-06
78,Lorenzo,Paz,30863414,7,1974-01-05
79,Esparta,Ceballos,35213375,9,1994-09-17
80,Paola,Solís,33463040,13,1974-01-25
81,Zacarías,Ureña,45546836,1,1993-08-10
82,Felipe,Paz,34297183,12,2006-03-31
83,María Elena,Montaño,39312642,8,1971-09-01
84,Laura,Guerrero,54881157,4,1989-11-04
85,Alfredo,Mayorga,56170293,9,1967-10-06
86,Paulina,Alcala,43145157,10,1987-05-25
87,Eva,Armendáriz,32387009,4,1974-08-26
88,Isaac,Romo,36027258,4,1994-04-07
89,Georgina,Maya,39085203,5,1980-08-21
90,Vanesa,Rojas,33320059,14,2004-05-28
91,Cynthia,Márquez,57565891,3,2004-08-09
92,Araceli,Guerra,33344968,10,1979-11-04
93,Débora,Acevedo,49237025,8,1985-02-12
94,Raquel,Bonilla,32282678,1,1978-03-25
95,Noemí,Rojo,46335974,10,1981-01-18
96,Rosario,Irizarry,34206087,11,1990-02-25
97,Cristal,Cardona,56876340,9,1998-11-07
98,Elisa,Verdugo,41217161,2,1980-07-11
99,José Emilio,Reyna,54398483,8,1994-07-12
100,David,Páez,57632696,7,1981-07-02
101,Mitzy,Santiago,33137834,14,1994-03-22
102,Nayeli,Barragán,30466024,15,1976-09-02
103,Helena,Villagómez,41036326,15,1980-08-31
104,Leonel,Sotelo,43084848,4,1965-07-29
105,Elsa,Cortez,33281623,8,1980-10-12
106,Esmeralda,Ayala,51371750,9,1978-04-08
107,Vicente,Alcala,40697262,8,1969-02-18
108,Ernesto,Saavedra,36496916,8,1977-11-02
109,Rosa,Amaya,38395697,10,1964-10-18
110,Isabel,Villagómez,58617999,7,1999-12-11
111,Cristina,Garza,37925307,3,1975-03-29
112,Francisco Javier,Pacheco,58399681,14,1987-03-01
113,Gerónimo,Esquibel,40404347,8,2002-09-29
114,Felix,Prado,52430520,13,1994-03-31
115,Julio,Arias,46118481,15,1975-12-07
116,Ramón,Merino,53523354,11,1968-05-12
117,Lucía,Molina,41695133,9,2005-10-12
118,Virginia,de la Crúz,52239284,4,1994-07-10
119,Samuel,Patiño,58267510,12,1998-03-23
120,Francisco Javier,Terrazas,44903080,1,1995-11-13
121,Salvador,Mares,47805713,2,1973-12-25
122,Arturo,Saucedo,30363909,8,1972-07-31
123,Raúl,Raya,41374859,9,1983-07-15
124,Linda,Lerma,51578426,10,2002-11-27
125,Estela,Quiñones,51100037,1,2006-01-15
126,Timoteo,Benavides,49699585,15,1971-12-30
127,Adalberto,Zapata,53488815,1,2007-02-18
128,Amalia,Bahena,44487068,1,1995-11-13
129,Armando,Loya,31241081,9,1992-06-02
130,Ángela,Godínez,35006277,10,1979-08-24
131,Francisca,Romero,40931038,14,1978-11-21
132,Abril,Reséndez,59498659,15,1990-01-08
133,Martín,Centeno,41927808,13,1977-12-21
134,Delia,Ulibarri,44351154,6,1985-10-12
135,Miriam,Arroyo,54068316,10,1974-05-18
136,Irma,Negrete,48455653,9,2003-12-05
137,Ruby,Rivero,39958288,15,1971-12-15
138,Minerva,Rodríguez,35637763,8,1983-05-31
139,Mauricio,Zúñiga,53774189,9,1972-07-25
140,Isabela,Nava,53810325,10,1994-01-15
141,Sessa,Loera,46764791,3,2004-02-07
142,Georgina,Quintero,56178311,14,1969-05-18
143,Helena,Quezada,37884961,4,1996-06-16
144,Teresa,Ponce,51744432,8,1982-02-11
145,María Teresa,Tórrez,49145084,8,1996-10-24
146,Aurelio,Armendáriz,35455957,14,1997-03-31
147,Lourdes,Lomeli,42159075,8,1993-08-04
148,Esteban,Montenegro,48189411,3,2000-03-04
149,Evelio,Palomo,37494636,12,2004-04-26
150,Fernando,Maya,31674636,10,1997-05-08
151,Claudio,Aguilera,34519402,7,1992-11-08
152,Rufino,Manzanares,56309936,2,2007-07-07
153,Óscar,Morales,30439229,1,1977-09-16
154,Frida,García,38271577,12,1967-11-22
155,Omar,Sotelo,51301428,15,1981-01-14
156,Cristina,Partida,39008419,14,2000-07-19
157,Sandra,Escalante,50589624,12,1972-03-09
158,Rocío,Farías,42945926,15,1968-08-07
159,Dulce,Ponce,35642496,10,1972-09-25
160,Adalberto,Malave,34099686,11,1969-02-05
161,Abril,Hinojosa,36009500,7,1972-07-31
162,Sonia,Galindo,44385091,3,1989-04-16
163,Aldonza,Paz,57117913,1,1969-07-11
164,Reina,Reyes,50651078,9,1997-04-07
165,Abraham,Peralta,57677908,5,2007-04-15
166,Marcos,Ocampo,38165995,10,1990-02-21
167,Rodrigo,Estévez,38204117,11,1983-09-14
168,Rufino,Guillen,42874062,11,1990-01-19
169,Héctor,Tafoya,55649476,15,1992-12-30
170,Roberto,Borrego,35264814,8,1988-09-11
171,Santiago,Tamez,44725750,6,1967-02-03
172,Yolanda,Quiñónez,33559615,14,1993-05-28
173,Paola,Campos,31768237,3,1997-04-10
174,Marcela,Galarza,49030833,1,2003-01-16
175,Débora,Candelaria,44672068,13,1995-01-27
176,Manuel,Velásquez,30136147,7,1992-12-31
177,Mercedes,Navarrete,46335800,12,1965-09-14
178,Fabiola,Márquez,52629791,7,1987-04-24
179,Francisco,Portillo,50912169,14,2002-07-04
180,Luz,Guzmán,50755432,9,1998-03-16
181,Cynthia,Vélez,49673031,12,1992-09-11
182,Elisa,Mora,53338746,3,1982-12-01
183,Josefina,Ocampo,54597487,1,1995-11-11
184,Agustín,Rangel,58578809,3,1972-10-22
185,Pamela,Rolón,33453639,11,1970-08-25
186,Yeni,Garibay,48917652,5,1990-12-11
