empleado_id,usuario,email,contrasena,estado,rol_id
1,ab12cd34,ab12cd34@ejemplo.com,9fGk2LmQwXz7,Activo,1
2,xy98zt56,xy98zt56@ejemplo.com,4hJp8KsVtBq2,Desactivado,2
3,uv45wx67,uv45wx67@ejemplo.com,7nLp3QwZxTg5,Activo,3
5,gh56ij12,gh56ij12@ejemplo.com,8zXc1QwLpRt3,Activo,5
6,rs78tu34,rs78tu34@ejemplo.com,3mNp7KsVtBq6,Desactivado,6
7,de90fg56,de90fg56@ejemplo.com,6pQw2LmXzTg8,Activo,7
8,op12qr78,op12qr78@ejemplo.com,1bVt9YpQwLm4,Desactivado,8
9,st34uv90,st34uv90@ejemplo.com,5zXc3QwLpRt7,Activo,9
10,wx56yz12,wx56yz12@ejemplo.com,9mNp2KsVtBq1,Desactivado,10
11,cd78ef34,cd78ef34@ejemplo.com,4pQw7LmXzTg6,Activo,11
12,gh90ij56,gh90ij56@ejemplo.com,8bVt3YpQwLm2,Desactivado,12
13,mn12op78,mn12op78@ejemplo.com,2zXc6QwLpRt5,Activo,13
14,qr34st90,qr34st90@ejemplo.com,7mNp1KsVtBq8,Desactivado,14
15,uv56wx12,uv56wx12@ejemplo.com,3pQw9LmXzTg2,Activo,15
16,ef78gh34,ef78gh34@ejemplo.com,6bVt2YpQwLm7,Desactivado,16
17,ij90kl56,ij90kl56@ejemplo.com,1zXc8QwLpRt4,Activo,17
18,op12qr34,op12qr34@ejemplo.com,5mNp3KsVtBq9,Desactivado,18
19,st56uv78,st56uv78@ejemplo.com,9pQw6LmXzTg1,Activo,19
20,wx90yz12,wx90yz12@ejemplo.com,4bVt7YpQwLm5,Desactivado,20
21,cd12ef56,cd12ef56@ejemplo.com,8zXc2QwLpRt6,Activo,21
22,gh34ij78,gh34ij78@ejemplo.com,2mNp5KsVtBq3,Desactivado,22
23,mn56op90,mn56op90@ejemplo.com,7pQw8LmXzTg4,Activo,23
24,qr78st12,qr78st12@ejemplo.com,3bVt1YpQwLm8,Desactivado,24
25,uv90wx34,uv90wx34@ejemplo.com,6zXc9QwLpRt2,Activo,25
26,ef12gh56,ef12gh56@ejemplo.com,1mNp4KsVtBq7,Desactivado,26
27,ij34kl78,ij34kl78@ejemplo.com,5pQw7LmXzTg3,Activo,27
28,op56qr90,op56qr90@ejemplo.com,9bVt2YpQwLm6,Desactivado,28
29,st78uv12,st78uv12@ejemplo.com,4zXc5QwLpRt1,Activo,29
30,wx12yz34,wx12yz34@ejemplo.com,8mNp6KsVtBq2,Desactivado,30
31,cd56ef78,cd56ef78@ejemplo.com,2pQw9LmXzTg5,Activo,31
32,gh78ij12,gh78ij12@ejemplo.com,7bVt3YpQwLm9,Desactivado,32
33,mn90op34,mn90op34@ejemplo.com,3zXc8QwLpRt4,Activo,33
34,qr12st56,qr12st56@ejemplo.com,6mNp1KsVtBq5,Desactivado,34
35,uv34wx78,uv34wx78@ejemplo.com,1pQw4LmXzTg8,Activo,35
36,ef56gh90,ef56gh90@ejemplo.com,5bVt7YpQwLm2,Desactivado,36
37,ij78kl12,ij78kl12@ejemplo.com,9zXc2QwLpRt7,Activo,37
38,op90qr34,op90qr34@ejemplo.com,4mNp5KsVtBq1,Desactivado,38
39,st12uv56,st12uv56@ejemplo.com,8pQw8LmXzTg6,Activo,39
40,wx34yz78,wx34yz78@ejemplo.com,2bVt1YpQwLm3,Desactivado,40
41,cd90ef12,cd90ef12@ejemplo.com,7zXc6QwLpRt9,Activo,41
42,gh12ij34,gh12ij34@ejemplo.com,3mNp9KsVtBq4,Desactivado,42
43,mn56op78,mn56op78@ejemplo.com,6pQw2LmXzTg7,Activo,43
44,qr78st90,qr78st90@ejemplo.com,1bVt5YpQwLm8,Desactivado,44
45,uv12wx34,uv12wx34@ejemplo.com,5zXc8QwLpRt2,Activo,45
46,ef34gh56,ef34gh56@ejemplo.com,9mNp3KsVtBq7,Desactivado,46
47,ij56kl78,ij56kl78@ejemplo.com,4pQw6LmXzTg1,Activo,47
48,op78qr12,op78qr12@ejemplo.com,8bVt9YpQwLm5,Desactivado,48
49,st90uv34,st90uv34@ejemplo.com,2zXc4QwLpRt6,Activo,49
50,wx12yz56,wx12yz56@ejemplo.com,7mNp7KsVtBq3,Desactivado,50
51,cd34ef78,cd34ef78@ejemplo.com,3pQw2LmXzTg4,Activo,1
52,gh56ij90,gh56ij90@ejemplo.com,6bVt5YpQwLm9,Desactivado,2
53,mn78op12,mn78op12@ejemplo.com,1zXc8QwLpRt5,Activo,3
54,qr90st34,qr90st34@ejemplo.com,5mNp1KsVtBq8,Desactivado,4
55,uv12wx56,uv12wx56@ejemplo.com,9pQw4LmXzTg2,Activo,5
56,ef34gh78,ef34gh78@ejemplo.com,4bVt7YpQwLm6,Desactivado,6
57,ij56kl90,ij56kl90@ejemplo.com,8zXc2QwLpRt1,Activo,7
58,op78qr12,op78qr12@ejemplo.com,2mNp5KsVtBq4,Desactivado,8
59,st90uv34,st90uv34@ejemplo.com,7pQw8LmXzTg9,Activo,9
60,wx12yz56,wx12yz56@ejemplo.com,3bVt1YpQwLm2,Desactivado,10
61,cd34ef78,cd34ef78@ejemplo.com,6zXc6QwLpRt7,Activo,11
62,gh56ij90,gh56ij90@ejemplo.com,1mNp9KsVtBq3,Desactivado,12
63,mn78op12,mn78op12@ejemplo.com,5pQw2LmXzTg8,Activo,13
64,qr90st34,qr90st34@ejemplo.com,9bVt5YpQwLm1,Desactivado,14
65,uv12wx56,uv12wx56@ejemplo.com,4zXc8QwLpRt6,Activo,15
66,ef34gh78,ef34gh78@ejemplo.com,8mNp3KsVtBq2,Desactivado,16
67,ij56kl90,ij56kl90@ejemplo.com,2pQw6LmXzTg5,Activo,17
68,op78qr12,op78qr12@ejemplo.com,7bVt9YpQwLm8,Desactivado,18
69,st90uv34,st90uv34@ejemplo.com,3zXc4QwLpRt9,Activo,19
70,wx12yz56,wx12yz56@ejemplo.com,6mNp7KsVtBq4,Desactivado,20
71,cd34ef78,cd34ef78@ejemplo.com,1pQw2LmXzTg7,Activo,21
72,gh56ij90,gh56ij90@ejemplo.com,5bVt5YpQwLm2,Desactivado,22
73,mn78op12,mn78op12@ejemplo.com,9zXc8QwLpRt3,Activo,23
74,qr90st34,qr90st34@ejemplo.com,4mNp1KsVtBq6,Desactivado,24
75,uv12wx56,uv12wx56@ejemplo.com,8pQw4LmXzTg1,Activo,25
76,az76qf21,az76qf21@ejemplo.com,7kLp9QwXzTg2VbRtLmn,Desactivado,26
77,by77rg22,by77rg22@ejemplo.com,3nMp8KsVtBq5XzTcLmQ,Activo,27
78,cx78sh23,cx78sh23@ejemplo.com,6pQw2LmXzTg8BvTt9Ks,Desactivado,28
79,du79tj24,du79tj24@ejemplo.com,1bVt9YpQwLm4ZxTc7Lp,Activo,29
80,ev80uk25,ev80uk25@ejemplo.com,5zXc3QwLpRt7KsVt2Mn,Desactivado,30
81,fw81vl26,fw81vl26@ejemplo.com,9mNp2KsVtBq1LmNp6Qw,Activo,31
82,gx82wm27,gx82wm27@ejemplo.com,4pQw7LmXzTg6BvTt3Ks,Desactivado,32
83,hy83xn28,hy83xn28@ejemplo.com,8bVt3YpQwLm2ZxTc5Lp,Activo,33
84,iz84yo29,iz84yo29@ejemplo.com,2zXc6QwLpRt5KsVt7Mn,Desactivado,34
85,jb85zp30,jb85zp30@ejemplo.com,7mNp1KsVtBq8LmNp4Qw,Activo,35
86,kc86aq31,kc86aq31@ejemplo.com,3pQw9LmXzTg2BvTt8Ks,Desactivado,36
87,ld87br32,ld87br32@ejemplo.com,6bVt2YpQwLm7ZxTc1Lp,Activo,37
88,me88cs33,me88cs33@ejemplo.com,1zXc8QwLpRt4KsVt9Mn,Desactivado,38
89,nf89dt34,nf89dt34@ejemplo.com,5mNp3KsVtBq9LmNp2Qw,Activo,39
90,og90eu35,og90eu35@ejemplo.com,9pQw6LmXzTg1BvTt6Ks,Desactivado,40
91,ph91fv36,ph91fv36@ejemplo.com,4bVt7YpQwLm5ZxTc3Lp,Activo,41
92,qi92gw37,qi92gw37@ejemplo.com,8zXc2QwLpRt6KsVt5Mn,Desactivado,42
93,rj93hx38,rj93hx38@ejemplo.com,2mNp5KsVtBq3LmNp7Qw,Activo,43
94,sk94iy39,sk94iy39@ejemplo.com,7pQw8LmXzTg4BvTt1Ks,Desactivado,44
95,tl95jz40,tl95jz40@ejemplo.com,3bVt1YpQwLm8ZxTc9Lp,Activo,45
96,um96ka41,um96ka41@ejemplo.com,6zXc9QwLpRt2KsVt4Mn,Desactivado,46
97,vn97lb42,vn97lb42@ejemplo.com,1mNp4KsVtBq7LmNp8Qw,Activo,47
98,wo98mc43,wo98mc43@ejemplo.com,5pQw7LmXzTg3BvTt2Ks,Desactivado,48
99,xp99nd44,xp99nd44@ejemplo.com,9bVt2YpQwLm6ZxTc7Lp,Activo,49
100,yq100oe45,yq100oe45@ejemplo.com,4zXc5QwLpRt1KsVt3Mn,Desactivado,50
101,ar101pf46,ar101pf46@ejemplo.com,8mNp6KsVtBq2LmNp5Qw,Activo,1
102,bs102qg47,bs102qg47@ejemplo.com,2pQw9LmXzTg5BvTt9Ks,Desactivado,2
103,ct103rh48,ct103rh48@ejemplo.com,7bVt3YpQwLm9ZxTc1Lp,Activo,3
104,du104si49,du104si49@ejemplo.com,3zXc8QwLpRt4KsVt6Mn,Desactivado,4
105,ev105tj50,ev105tj50@ejemplo.com,6mNp1KsVtBq5LmNp2Qw,Activo,5
106,fw106uk51,fw106uk51@ejemplo.com,1pQw4LmXzTg8BvTt7Ks,Desactivado,6
107,gx107vl52,gx107vl52@ejemplo.com,5bVt7YpQwLm2ZxTc4Lp,Activo,7
108,hy108wm53,hy108wm53@ejemplo.com,9zXc2QwLpRt7KsVt8Mn,Desactivado,8
109,iz109xn54,iz109xn54@ejemplo.com,4mNp5KsVtBq1LmNp3Qw,Activo,9
110,jb110yo55,jb110yo55@ejemplo.com,8pQw8LmXzTg6BvTt5Ks,Desactivado,10
111,kc111zp56,kc111zp56@ejemplo.com,2bVt1YpQwLm3ZxTc9Lp,Activo,11
112,ld112aq57,ld112aq57@ejemplo.com,7zXc6QwLpRt9KsVt2Mn,Desactivado,12
113,me113br58,me113br58@ejemplo.com,3mNp9KsVtBq4LmNp6Qw,Activo,13
114,nf114cs59,nf114cs59@ejemplo.com,6pQw2LmXzTg7BvTt1Ks,Desactivado,14
115,og115dt60,og115dt60@ejemplo.com,1bVt5YpQwLm8ZxTc7Lp,Activo,15
116,ph116eu61,ph116eu61@ejemplo.com,5zXc8QwLpRt2KsVt3Mn,Desactivado,16
117,qi117fv62,qi117fv62@ejemplo.com,9mNp3KsVtBq7LmNp8Qw,Activo,17
118,rj118gw63,rj118gw63@ejemplo.com,4pQw6LmXzTg1BvTt2Ks,Desactivado,18
119,sk119hx64,sk119hx64@ejemplo.com,8bVt9YpQwLm5ZxTc6Lp,Activo,19
120,tl120iy65,tl120iy65@ejemplo.com,2zXc4QwLpRt6KsVt4Mn,Desactivado,20
121,um121jz66,um121jz66@ejemplo.com,7mNp7KsVtBq3LmNp9Qw,Activo,21
122,vn122ka67,vn122ka67@ejemplo.com,3bVt2LmXzTg4BvTt1Ks,Desactivado,22
123,wo123lb68,wo123lb68@ejemplo.com,6zXc6QwLpRt7ZxTc5Lp,Activo,23
124,xp124mc69,xp124mc69@ejemplo.com,1mNp9KsVtBq3KsVt8Mn,Desactivado,24
125,yq125nd70,yq125nd70@ejemplo.com,5pQw2LmXzTg8LmNp2Qw,Activo,25
